dtime,yaw,pitch,roll,q0,q1,q2,q3
"2021/10/15 09:36:33",1.79327268085,-13.7102779759,-13.6592570681,0.985907375813,-0.116198286414,-0.120345622301,0.00123431347311
"2021/10/15 09:37:03",1.82629433571,-12.0780398541,-14.3395146218,0.98675853014,-0.122437618673,-0.106347866356,0.00259537366219
"2021/10/15 09:37:33",1.87110747381,-10.4489133823,-15.0587003523,0.987322509289,-0.128998339176,-0.0923911258578,0.0041896761395
"2021/10/15 09:38:04",1.92880596759,-8.76446028455,-15.8441319953,0.987598240376,-0.136129811406,-0.0779828503728,0.00609208224341
"2021/10/15 09:38:34",1.9947543263,-7.12878630322,-16.6455738999,0.987561225891,-0.143377050757,-0.0640209317207,0.00819222908467
"2021/10/15 09:39:04",2.0693000761,-5.48536352662,-17.4892309318,0.987214028835,-0.150977596641,-0.0500286929309,0.0105531690642
"2021/10/15 09:39:35",2.15481261767,-3.77654005678,-18.4060998753,0.986516416073,-0.159207031131,-0.0355262942612,0.0132820867002
"2021/10/15 09:40:05",2.24355520618,-2.10918086278,-19.3389890915,0.985497653484,-0.167548701167,-0.0214278418571,0.0162052549422
"2021/10/15 09:40:35",2.33647692589,-0.424921479093,-20.3176674528,0.984124541283,-0.176265269518,-0.00724523374811,0.0194145273417
"2021/10/15 09:41:05",2.43043164952,1.28175730369,-21.344195672,0.982376694679,-0.185367956758,0.0070620579645,0.0229106936604
"2021/10/15 09:41:35",2.52717095101,3.06934508614,-22.4565971113,0.980153858662,-0.195180937648,0.0219704806805,0.0268357563764
"2021/10/15 09:42:04",2.61381345135,4.76743188534,-23.5471848266,0.977666437626,-0.204743936658,0.0360562764108,0.0307930484414
"2021/10/15 09:42:35",2.70013403696,6.6113424764,-24.7681680956,0.974544644356,-0.215374708176,0.0512609407306,0.0353375971317
"2021/10/15 09:43:06",2.73559746043,8.39324491528,-25.9950243063,0.971097528934,-0.225943863392,0.0659299716353,0.0396503992379
"2021/10/15 09:43:36",2.36781642501,9.40136188931,-26.8177295541,0.968868494034,-0.23271612823,0.0749240890145,0.0390308871865
